"longitude","latitude","listing","County"
35.582391,3.222909,1,"Turkana"
35.581789,3.222657,2,"Turkana"
35.579651,3.224472,3,"Turkana"
35.579189,3.224581,4,"Turkana"
35.577966,3.22509,5,"Turkana"
35.577676,3.225225,6,"Turkana"
35.577371,3.225368,7,"Turkana"
35.35502,3.148446,8,"Turkana"
35.247397,3.144302,9,"Turkana"
35.254445,3.14495,10,"Turkana"
35.425808,3.110151,11,"Turkana"
35.454905,4.626087,12,"Turkana"
35.39892,4.650788,13,"Turkana"
35.512867,4.65921,14,"Turkana"
35.639222,3.192118,15,"Turkana"
35.697148,4.633935,16,"Turkana"
35.783488,4.20963,17,"Turkana"
35.767541,4.268374,18,"Turkana"
35.632926,4.313147,19,"Turkana"
35.793876,4.11546,20,"Turkana"
35.795057,4.114035,21,"Turkana"
35.795472,4.113375,22,"Turkana"
35.688907,4.079765,23,"Turkana"
34.988862,4.460585,24,"Turkana"
34.337086,4.244939,25,"Turkana"
34.371066,4.187053,26,"Turkana"
34.3791,4.162871,27,"Turkana"
34.371976,4.16979,28,"Turkana"
34.362293,4.198199,29,"Turkana"
34.791021,3.718365,30,"Turkana"
34.886252,3.773019,31,"Turkana"
34.907939,3.735285,32,"Turkana"
34.33003,3.859596,33,"Turkana"
34.41852,3.887723,34,"Turkana"
34.557193,3.907368,35,"Turkana"
34.547101,3.988176,36,"Turkana"
34.577964,4.400726,37,"Turkana"
35.43861,3.868566,38,"Turkana"
35.401941,4.502684,39,"Turkana"
35.220734,3.117838,40,"Turkana"
34.738427,3.767579,41,"Turkana"
35.5055,3.33507,42,"Turkana"
35.449929,3.356273,43,"Turkana"
35.455802,3.39776,44,"Turkana"
35.394504,3.374086,45,"Turkana"
35.309162,3.438231,46,"Turkana"
35.158632,3.503315,47,"Turkana"
35.154586,3.503276,48,"Turkana"
35.176723,3.54048,49,"Turkana"
35.189958,3.657482,50,"Turkana"
35.730686,4.179095,51,"Turkana"
35.413611,4.740712,52,"Turkana"
35.364472,4.718102,53,"Turkana"
35.369678,4.831721,54,"Turkana"
35.356304,4.956587,55,"Turkana"
34.424933,4.382721,56,"Turkana"
34.314097,4.329408,57,"Turkana"
34.336709,4.217035,58,"Turkana"
34.324522,4.186209,59,"Turkana"
34.407927,4.196908,60,"Turkana"
34.388916,4.200665,61,"Turkana"
34.338329,4.092925,62,"Turkana"
34.36495,4.183538,63,"Turkana"
34.367789,4.178227,64,"Turkana"
34.465369,4.09936,65,"Turkana"
34.518234,4.059651,66,"Turkana"
34.524529,4.054702,67,"Turkana"
34.528596,4.050246,68,"Turkana"
34.538961,4.034372,69,"Turkana"
34.626905,3.749328,70,"Turkana"
35.038544,3.624222,71,"Turkana"
35.543766,3.179063,72,"Turkana"
34.240622,3.78214,73,"Turkana"
34.578077,3.847963,74,"Turkana"
34.761111,2.879204,75,"Turkana"
34.83124,2.689416,76,"Turkana"
34.990805,2.555015,77,"Turkana"
35.638863,2.921684,78,"Turkana"
36.130363,2.220509,79,"Turkana"
35.888112,3.026486,80,"Turkana"
35.447298,2.296568,81,"Turkana"
35.702586,3.261769,82,"Turkana"
35.807143,4.024499,83,"Turkana"
35.829118,4.036487,84,"Turkana"
35.747752,4.050545,85,"Turkana"
35.751205,4.048986,86,"Turkana"
35.762958,4.045911,87,"Turkana"
35.853622,4.058828,88,"Turkana"
35.878141,4.067011,89,"Turkana"
35.868855,4.093011,90,"Turkana"
35.894383,4.103729,91,"Turkana"
35.886545,4.125758,92,"Turkana"
35.860878,4.124789,93,"Turkana"
35.859653,4.124555,94,"Turkana"
35.858957,4.121193,95,"Turkana"
35.855984,4.120316,96,"Turkana"
35.856494,4.123135,97,"Turkana"
35.855744,4.124595,98,"Turkana"
35.85802,4.124212,99,"Turkana"
35.863148,4.12823,100,"Turkana"
35.861986,4.127843,101,"Turkana"
35.849362,4.146835,102,"Turkana"
35.85167,4.155695,103,"Turkana"
35.805999,4.135042,104,"Turkana"
35.809455,4.147788,105,"Turkana"
35.809922,4.147703,106,"Turkana"
35.810388,4.147703,107,"Turkana"
35.810837,4.147527,108,"Turkana"
35.87485,4.168862,109,"Turkana"
35.876051,4.177006,110,"Turkana"
35.888564,4.188844,111,"Turkana"
35.893482,4.281782,112,"Turkana"
35.8951,4.282974,113,"Turkana"
35.895529,4.284153,114,"Turkana"
35.895826,4.285618,115,"Turkana"
35.89142,4.459567,116,"Turkana"
35.91691,4.455402,117,"Turkana"
35.932363,4.453828,118,"Turkana"
35.923523,4.471222,119,"Turkana"
35.924293,4.477315,120,"Turkana"
35.931795,4.497716,121,"Turkana"
35.788423,4.636389,122,"Turkana"
35.793276,4.642878,123,"Turkana"
35.418578,3.312723,124,"Turkana"
35.725256,4.024436,125,"Turkana"
35.725452,4.024888,126,"Turkana"
35.726274,4.025426,127,"Turkana"
35.726745,4.025715,128,"Turkana"
35.726996,4.026611,129,"Turkana"
35.726083,4.028028,130,"Turkana"
35.726245,4.028296,131,"Turkana"
35.711789,4.040373,132,"Turkana"
35.651696,4.03114,133,"Turkana"
35.74757,4.49527,134,"Turkana"
35.746528,4.484428,135,"Turkana"
34.977068,2.566977,136,"Turkana"
34.996742,2.585196,137,"Turkana"
35.14152,2.761704,138,"Turkana"
35.551955,2.251674,139,"Turkana"
35.537464,2.193716,140,"Turkana"
35.515281,2.029032,141,"Turkana"
35.522504,2.027583,142,"Turkana"
35.519631,2.018765,143,"Turkana"
35.52144,2.005188,144,"Turkana"
35.869369,2.066213,145,"Turkana"
35.87071,2.060087,146,"Turkana"
35.90908,1.957898,147,"Turkana"
35.46743,4.21692,148,"Turkana"
35.779592,3.22137,149,"Turkana"
35.690084,4.122415,150,"Turkana"
35.476771,2.229443,151,"Turkana"
35.455681,2.170963,152,"Turkana"
35.482856,2.16865,153,"Turkana"
35.535274,2.05032,154,"Turkana"
34.588796,3.225591,155,"Turkana"
34.495623,3.224682,156,"Turkana"
34.331015,3.765,157,"Turkana"
34.56351,3.873641,158,"Turkana"
34.559701,3.920289,159,"Turkana"
34.559729,3.900336,160,"Turkana"
34.554761,3.944626,161,"Turkana"
34.556303,3.96031,162,"Turkana"
34.556572,3.965334,163,"Turkana"
34.554115,3.971343,164,"Turkana"
34.553124,3.974788,165,"Turkana"
34.552895,3.975418,166,"Turkana"
34.545429,4.001742,167,"Turkana"
34.539866,4.055092,168,"Turkana"
34.502244,4.06784,169,"Turkana"
35.907067,4.384662,170,"Turkana"
35.887582,4.214212,171,"Turkana"
35.861441,4.081314,172,"Turkana"
35.703275,4.159522,173,"Turkana"
35.693897,4.1582,174,"Turkana"
35.698156,4.130269,175,"Turkana"
36.342594,1.142245,176,"Turkana"
36.338898,1.058416,177,"Turkana"
36.409415,1.24112,178,"Turkana"
36.046498,2.00797,179,"Turkana"
36.049248,2.005976,180,"Turkana"
35.819218,2.214557,181,"Turkana"
35.819038,2.316438,182,"Turkana"
35.098341,3.573608,183,"Turkana"
34.975468,3.70015,184,"Turkana"
34.807526,3.507594,185,"Turkana"
34.798145,3.694213,186,"Turkana"
34.776514,3.719525,187,"Turkana"
34.801123,3.717528,188,"Turkana"
34.810215,3.696066,189,"Turkana"
34.856535,3.678084,190,"Turkana"
34.8303,3.886989,191,"Turkana"
34.883967,3.884517,192,"Turkana"
34.860427,3.690201,193,"Turkana"
34.896593,3.698859,194,"Turkana"
34.75529,3.755449,195,"Turkana"
34.734291,3.794025,196,"Turkana"
34.6794,3.754583,197,"Turkana"
34.726606,3.73544,198,"Turkana"
34.808088,3.604281,199,"Turkana"
34.802272,3.673417,200,"Turkana"
34.849273,3.708468,201,"Turkana"
34.842515,3.705983,202,"Turkana"
34.885493,3.75219,203,"Turkana"
34.863402,3.755705,204,"Turkana"
34.841894,3.833779,205,"Turkana"
34.857123,3.862294,206,"Turkana"
34.838454,3.85239,207,"Turkana"
34.838157,4.538475,208,"Turkana"
34.417758,4.296907,209,"Turkana"
35.486672,3.124854,210,"Turkana"
